,c1,ind,year,emp,wage,cap,indoutpt,n,w,k,ys,rec,yearm1,id,nL1,nL2,wL1,kL1,kL2,ysL1,ysL2,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984
1,2024-01-01,7,1977,5.040999889,13.15159988,0.589399993,95.7071991,1.617604494,2.576543331,-0.528650224,4.561293602,1,1977,1,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0
2,2024-02-01,7,1978,5.599999905,12.30179977,0.631799996,97.35690308,1.722766638,2.509745598,-0.459182411,4.578383446,2,1977,1,1.617604494,NA,2.576543331,-0.528650224,NA,4.561293602,NA,0,0,1,0,0,0,0,0,0
3,2024-03-01,7,1979,5.014999866,12.83950043,0.677100003,99.60829926,1.612433434,2.552526474,-0.389936298,4.601245403,3,1978,1,1.722766638,1.617604494,2.509745598,-0.459182411,-0.528650224,4.578383446,4.561293602,0,0,0,1,0,0,0,0,0
4,2024-04-01,7,1980,4.715000153,13.80389977,0.6171,100.5501022,1.550748944,2.624951124,-0.48272419,4.610656261,4,1979,1,1.612433434,1.722766638,2.552526474,-0.389936298,-0.459182411,4.601245403,4.578383446,0,0,0,0,1,0,0,0,0
5,2024-05-01,7,1981,4.092999935,14.28969955,0.507600009,99.55809784,1.409278154,2.659538984,-0.678061545,4.600741386,5,1980,1,1.550748944,1.612433434,2.624951124,-0.48272419,-0.389936298,4.610656261,4.601245403,0,0,0,0,0,1,0,0,0
6,2024-06-01,7,1982,3.165999889,14.86810017,0.422899991,98.61509705,1.15246892,2.699218035,-0.860619545,4.591224194,6,1981,1,1.409278154,1.550748944,2.659538984,-0.678061545,-0.48272419,4.600741386,4.610656261,0,0,0,0,0,0,1,0,0
7,2024-07-01,7,1983,2.936000109,13.77840042,0.39199999,100.030098,1.077048182,2.623102188,-0.936493456,4.605471134,7,1982,1,1.15246892,1.409278154,2.699218035,-0.860619545,-0.678061545,4.591224194,4.600741386,0,0,0,0,0,0,0,1,0
8,2024-08-01,7,1977,71.31900024,14.79090023,16.93630028,95.7071991,4.2671628,2.694012165,2.82945919,4.561293602,8,1983,2,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0
9,2024-09-01,7,1978,70.64299774,14.10359955,17.24220085,97.35690308,4.257638931,2.646430016,2.847359896,4.578383446,9,1977,2,4.2671628,NA,2.694012165,2.82945919,NA,4.561293602,NA,0,0,1,0,0,0,0,0,0
10,2024-10-01,7,1979,70.91799927,14.95339966,17.54129982,99.60829926,4.2615242,2.70493865,2.864557981,4.601245403,10,1978,2,4.257638931,4.2671628,2.646430016,2.847359896,2.82945919,4.578383446,4.561293602,0,0,0,1,0,0,0,0,0
