year,y,l,k
1995,10260916 ,920 ,18168094 
1996,12239492 ,1008 ,21567902 
1997,12273012 ,1103 ,24489044 
1998,8341342 ,847 ,25703862 
1999,12487276 ,812 ,26211220 
2000,14785184 ,987 ,27298364 
2001,15132040 ,886 ,28679924 
2002,15553156 ,827 ,29635816 
2003,16337632 ,874 ,31398302 
2004,18068576 ,956 ,35676336 
2005,19270240 ,1005 ,39156608 
2006,22426312 ,1003 ,42251692 
2007,23926616 ,994 ,45787788 
2008,25764160 ,933 ,49231836 
2009,26652976 ,1039 ,51930124 
2010,32823632 ,1165 ,54724800 
2011,37131920 ,1229 ,58397532 
2012,37685248 ,1085 ,61665708 
2013,37827480 ,1057 ,64291372 
