Time,con,inv,gov,ex,im,gdp,m2,exch,cpi,rat
1961/Q1,8957.5 ,-659.9 ,3036.1 ,43.6 ,292.3 ,7000.7 ,24.0 ,,,
1961/Q2,6593.8 ,1736.8 ,3079.9 ,56.3 ,392.2 ,8141.3 ,27.1 ,,,
1961/Q3,6308.6 ,833.2 ,2980.0 ,70.8 ,283.1 ,6970.2 ,35.3 ,,,
1961/Q4,8740.5 ,950.7 ,2922.3 ,66.8 ,332.0 ,8974.2 ,39.7 ,,,
1962/Q1,9670.8 ,-727.9 ,3058.9 ,53.9 ,338.6 ,7444.8 ,42.0 ,,,
1962/Q2,7299.9 ,1162.9 ,3207.0 ,68.2 ,383.8 ,8009.8 ,47.5 ,,,
1962/Q3,6978.5 ,1226.5 ,3234.7 ,64.0 ,485.9 ,7469.7 ,53.5 ,,,
1962/Q4,9633.1 ,1082.9 ,3004.9 ,88.6 ,548.2 ,9373.0 ,49.7 ,,,
1963/Q1,9415.6 ,273.7 ,3268.9 ,67.7 ,454.5 ,8197.4 ,50.0 ,,,
1963/Q2,7677.0 ,1569.1 ,3334.1 ,74.4 ,561.1 ,8704.1 ,52.0 ,,,
1963/Q3,7390.6 ,1421.4 ,3399.1 ,93.5 ,613.0 ,8192.7 ,57.4 ,,,
1963/Q4,10554.8 ,1046.6 ,3207.2 ,79.2 ,567.1 ,10116.6 ,53.5 ,,,
1964/Q1,10552.4 ,-260.8 ,3352.6 ,73.8 ,387.5 ,8584.9 ,55.3 ,,,
1964/Q2,8281.3 ,1259.7 ,3269.4 ,106.1 ,387.3 ,9201.5 ,57.7 ,255.8 ,,
1964/Q3,8060.2 ,1173.9 ,3342.2 ,104.8 ,405.9 ,8861.3 ,62.0 ,255.8 ,,
1964/Q4,11138.1 ,1576.3 ,3256.0 ,121.2 ,469.3 ,11898.8 ,61.7 ,255.8 ,,
1965/Q1,11065.8 ,-150.3 ,3351.4 ,88.9 ,367.8 ,9293.1 ,64.7 ,263.2 ,2.5 ,
1965/Q2,8888.9 ,1711.3 ,3594.6 ,129.3 ,439.4 ,10471.8 ,72.1 ,271.4 ,2.6 ,
1965/Q3,8768.6 ,1156.4 ,3698.9 ,150.4 ,471.1 ,9513.2 ,79.8 ,272.0 ,2.7 ,
1965/Q4,11925.0 ,1257.2 ,3439.8 ,185.7 ,593.8 ,12089.4 ,93.7 ,271.8 ,2.6 ,
1966/Q1,11564.0 ,57.2 ,3829.2 ,151.7 ,528.1 ,10048.7 ,102.7 ,271.7 ,2.7 ,
1966/Q2,9567.2 ,2452.9 ,3847.1 ,190.9 ,638.2 ,11907.4 ,113.9 ,271.2 ,2.9 ,
1966/Q3,9284.0 ,2047.2 ,4063.7 ,208.2 ,693.1 ,11020.0 ,128.4 ,271.2 ,3.0 ,
1966/Q4,12908.7 ,1976.5 ,3971.4 ,241.3 ,939.8 ,13353.0 ,142.0 ,271.2 ,3.0 ,
1967/Q1,12301.9 ,346.0 ,4192.0 ,190.6 ,659.4 ,10998.6 ,158.8 ,270.1 ,3.1 ,
1967/Q2,10591.2 ,2185.5 ,4253.1 ,241.1 ,713.6 ,12509.7 ,181.0 ,270.0 ,3.2 ,
1967/Q3,10410.6 ,3098.4 ,4472.0 ,257.3 ,1155.4 ,12570.8 ,204.2 ,270.6 ,3.2 ,
