time,con,inv,gov,ex,im,gdp,cpi,m2,r,un,
1999/Q1,142896,52849,29436 ,40998,43351,186867,61.5 ,665515,6.9 ,8.5 ,
1999/Q2,138555,70530,27209 ,46811,46171,206408,61.6 ,670344,6.7 ,6.7 ,
1999/Q3,145354,71733,28308 ,46216,47304,210992,61.6 ,679139,8.7 ,6.0 ,
1999/Q4,155407,72211,29999 ,53142,53034,224216,62.3 ,672544,8.5 ,5.0 ,
2000/Q1,159203,66238,30448 ,49224,57659,210586,62.7 ,684735,9.1 ,5.5 ,
2000/Q2,152124,79046,27379 ,54719,57013,225288,62.6 ,683705,8.9 ,4.2 ,
2000/Q3,154595,81193,28034 ,56508,58466,230172,63.4 ,697736,7.9 ,4.0 ,
2000/Q4,161808,79293,29874 ,58507,58667,237505,63.9 ,707699,7.3 ,4.0 ,
2001/Q1,164122,65215,31655 ,53464,56794,221365,65.0 ,720213,5.8 ,5.2 ,
2001/Q2,160646,79340,28930 ,53636,53408,236420,65.8 ,737260,6.4 ,3.8 ,
2001/Q3,164812,81126,30318 ,52860,55404,238125,66.1 ,768718,5.3 ,3.5 ,
2001/Q4,175200,85330,32298 ,55058,58173,251485,66.0 ,764979,5.3 ,3.5 ,
2002/Q1,181469,66847,34100 ,54356,59421,237385,66.6 ,805123,6.1 ,4.0 ,
2002/Q2,176271,85888,31495 ,59116,61616,254479,67.5 ,826521,6.2 ,3.2 ,
2002/Q3,177965,89029,31444 ,62272,66004,257558,67.8 ,840325,5.5 ,3.0 ,
2002/Q4,185923,93868,34224 ,66825,70062,271160,68.2 ,872076,5.3 ,2.9 ,
2003/Q1,185037,75822,35648 ,61977,69982,247352,69.4 ,887799,4.8 ,3.8 ,
2003/Q2,176792,90064,33068 ,64315,65887,260380,69.8 ,881989,4.3 ,3.4 ,
2003/Q3,177969,91193,33233 ,68653,70093,262915,70.0 ,880972,4.4 ,3.5 ,
2003/Q4,185898,96957,35961 ,80564,78083,282056,70.6 ,898069,4.6 ,3.6 ,
2004/Q1,185385,78847,37074 ,79375,78626,261589,71.6 ,913949,4.8 ,4.0 ,
2004/Q2,179622,94802,35025 ,82942,77553,277913,72.1 ,929194,4.4 ,3.5 ,
2004/Q3,179843,93316,34824 ,82306,76769,276493,73.0 ,945480,3.9 ,3.5 ,
2004/Q4,189343,101743,37335 ,88755,85422,291421,72.9 ,954723,3.4 ,3.6 ,
2005/Q1,190580,81037,38842 ,83108,82087,269327,73.9 ,970629,4.0 ,4.2 ,
2005/Q2,188330,98570,36848 ,87572,84222,288656,74.3 ,999795,3.8 ,3.7 ,
2005/Q3,190194,97978,36764 ,90431,86525,290327,74.7 ,1004088,4.3 ,3.6 ,
2005/Q4,200249,99295,39510 ,98600,90219,306820,74.7 ,1021449,5.0 ,3.5 ,
2006/Q1,202219,87072,41749 ,94199,94312,286486,75.5 ,1040062,4.9 ,3.9 ,
2006/Q2,198482,99534,39840 ,99457,93142,302613,76.0 ,1082235,4.9 ,3.4 ,
2006/Q3,199711,104477,39365 ,103250,100175,305160,76.6 ,1112597,4.8 ,3.3 ,
2006/Q4,210925,104645,42613 ,106133,98208,321681,76.3 ,1149262,4.7 ,3.3 ,
2007/Q1,213411,89102,44737 ,104972,104051,300606,77.0 ,1164051,4.9 ,3.6 ,
2007/Q2,210132,109332,42799 ,110710,107261,320446,77.8 ,1204633,5.1 ,3.2 ,
2007/Q3,210884,104969,41425 ,113691,105631,321817,78.3 ,1227055,5.3 ,3.1 ,
2007/Q4,221813,112247,45285 ,124465,112814,343591,78.9 ,1273612,5.6 ,3.0 ,
2008/Q1,223622,93756,46688 ,118612,114459,318146,79.9 ,1316505,5.2 ,3.4 ,
2008/Q2,216964,111507,44805 ,120461,112079,334569,81.6 ,1368552,5.3 ,3.1 ,
2008/Q3,216145,113467,43366 ,124271,116543,334821,82.7 ,1392432,5.9 ,3.1 ,
2008/Q4,218987,95834,47783 ,124996,100700,337684,82.4 ,1425888,4.7 ,3.1 ,
2009/Q1,219831,69159,50148 ,114482,92217,312309,83.0 ,1467315,3.6 ,3.8 ,
2009/Q2,219372,92878,48523 ,116213,98279,330539,83.8 ,1509702,3.9 ,3.8 ,
2009/Q3,220318,103757,46372 ,123134,108283,337801,84.3 ,1541191,4.3 ,3.6 ,
