subject,time,charity,income,price,age,ms,deps
1,1,6.4457 ,10.1781 ,-0.3285 ,0,1,2
1,2,6.1312 ,10.1857 ,-0.3285 ,0,1,1
1,3,6.3279 ,10.3542 ,-0.3857 ,0,1,1
1,4,6.4135 ,10.4694 ,-0.4005 ,0,1,1
1,5,6.4922 ,10.5216 ,-0.3567 ,0,1,1
1,6,6.5653 ,10.5662 ,-0.3285 ,0,1,1
1,7,6.5999 ,10.6428 ,-0.4005 ,0,1,1
1,8,6.6657 ,10.7012 ,-0.4005 ,0,1,1
1,9,2.3026 ,10.7091 ,-1.6094 ,0,1,1
1,10,2.3026 ,10.7716 ,-0.3285 ,0,1,1
2,1,7.5827 ,10.0121 ,-0.3011 ,0,0,1
2,2,6.2461 ,10.0543 ,-0.3011 ,0,0,1
2,3,7.5715 ,9.9993 ,-0.2744 ,0,0,1
2,4,7.1816 ,10.2367 ,-0.3285 ,1,0,1
2,5,7.9113 ,10.1542 ,-0.2357 ,1,0,0
2,6,7.5543 ,10.3258 ,-0.3011 ,1,0,0
2,7,6.9939 ,10.3189 ,-0.3285 ,1,0,0
2,8,7.4950 ,10.2740 ,-0.3011 ,1,0,0
2,9,8.1244 ,10.5230 ,-0.6931 ,1,0,0
2,10,7.9025 ,10.6780 ,-0.3285 ,0,0,0
3,1,6.2500 ,10.3060 ,-0.4943 ,0,0,0
3,2,6.4135 ,10.3320 ,-0.4943 ,0,0,0
3,3,6.5653 ,10.4490 ,-0.5798 ,0,0,0
3,4,6.6970 ,10.4536 ,-0.4308 ,0,0,0
3,5,6.7569 ,10.5797 ,-0.4463 ,0,0,0
3,6,6.9470 ,10.5792 ,-0.4155 ,0,0,0
3,7,6.7032 ,10.6854 ,-0.4155 ,0,0,0
3,8,7.1778 ,10.7017 ,-0.4155 ,0,0,0
3,9,7.4844 ,10.8063 ,-0.6931 ,0,0,0
3,10,7.5011 ,10.8861 ,-0.3285 ,0,0,0
4,1,6.9047 ,10.0459 ,-0.2744 ,0,1,4
4,2,7.1188 ,10.3302 ,-0.3285 ,0,1,4
4,3,7.0876 ,10.4602 ,-0.3857 ,0,1,4
4,4,7.3840 ,10.4473 ,-0.3425 ,0,1,4
4,5,7.0741 ,10.3472 ,-0.2614 ,0,1,4
4,6,7.0440 ,10.3960 ,-0.2877 ,0,1,4
4,7,7.3395 ,10.6008 ,-0.3285 ,0,1,4
4,8,7.3415 ,10.5506 ,-0.2877 ,0,1,4
4,9,7.5175 ,10.6830 ,-1.6094 ,0,1,3
4,10,7.6133 ,10.6874 ,-0.3285 ,0,1,3
5,1,5.9532 ,9.9926 ,-0.3011 ,0,0,2
5,2,6.0638 ,10.1259 ,-0.3711 ,0,0,2
5,3,7.3330 ,10.3016 ,-0.3711 ,0,0,2
5,4,6.8669 ,10.2737 ,-0.3285 ,0,0,2
5,5,6.8977 ,10.3675 ,-0.2877 ,0,0,2
5,6,6.9754 ,10.4115 ,-0.2744 ,0,0,2
5,7,7.0942 ,10.4861 ,-0.2744 ,0,0,2
5,8,7.2152 ,10.5324 ,-0.3285 ,0,0,1
5,9,7.9673 ,10.9536 ,-1.6094 ,0,1,2
5,10,8.0343 ,11.0594 ,-0.3285 ,0,1,2
6,1,5.8861 ,10.4619 ,0.0000 ,0,1,5
6,2,5.6870 ,10.1938 ,-0.2744 ,0,1,5
6,3,5.7714 ,10.4024 ,-0.3285 ,0,1,5
6,4,6.3244 ,10.3822 ,-0.2877 ,0,1,5
6,5,6.5043 ,10.4223 ,-0.2614 ,0,1,5
6,6,6.2538 ,10.5795 ,-0.3285 ,0,1,5
6,7,6.5709 ,10.7472 ,-0.3285 ,0,1,5
6,8,6.5876 ,10.8707 ,-0.4005 ,0,1,5
6,9,6.0113 ,11.0232 ,-1.6094 ,0,1,5
6,10,6.1093 ,11.2087 ,-0.3285 ,0,1,5
7,1,4.7005 ,10.3891 ,-0.3285 ,0,1,2
7,2,4.7005 ,10.5250 ,-0.3857 ,0,1,2
7,3,4.7005 ,10.4910 ,-0.3857 ,0,1,2
7,4,5.7366 ,10.5729 ,-0.3425 ,0,1,2
7,5,4.7005 ,10.7255 ,-0.3011 ,0,1,1
7,6,5.0752 ,10.7390 ,-0.3285 ,0,1,1
7,7,6.1312 ,10.7014 ,-0.2877 ,0,1,1
7,8,5.0752 ,10.6890 ,-0.2877 ,0,1,1
7,9,2.3026 ,10.6842 ,-1.6094 ,0,1,1
7,10,2.3026 ,10.7095 ,-0.1625 ,0,1,1
8,1,6.5525 ,9.1853 ,0.0000 ,0,1,3
8,2,6.1527 ,9.9601 ,-0.2357 ,0,1,3
8,3,6.1696 ,9.5881 ,-0.1743 ,0,1,3
8,4,6.5250 ,10.0673 ,-0.2107 ,0,1,3
8,5,6.8189 ,10.4279 ,-0.2614 ,0,1,3
8,6,7.0519 ,10.4190 ,-0.2485 ,0,1,3
8,7,7.0934 ,10.4332 ,-0.2485 ,0,1,3
8,8,7.2240 ,10.7100 ,-0.3285 ,0,1,3
8,9,7.0130 ,10.4273 ,-0.6931 ,0,1,3
8,10,7.1747 ,10.5899 ,-0.1625 ,0,1,3
9,1,8.5289 ,10.9102 ,-0.5621 ,0,1,4
9,2,8.4919 ,11.1192 ,-0.6733 ,0,1,4
9,3,8.8270 ,11.2692 ,-0.6733 ,0,1,4
9,4,9.0295 ,11.3419 ,-0.6733 ,0,1,4
9,5,9.1847 ,11.4685 ,-0.5798 ,0,1,4
9,6,8.9479 ,11.2464 ,-0.4780 ,0,1,4
9,7,9.3907 ,11.4513 ,-0.5447 ,0,1,4
9,8,9.7057 ,11.8783 ,-0.5978 ,0,1,4
9,9,9.8379 ,11.9382 ,-1.8971 ,0,1,4
9,10,9.7970 ,11.8995 ,-0.4005 ,0,1,4
10,1,6.1290 ,10.1043 ,-0.2744 ,0,1,3
10,2,6.2422 ,10.3336 ,-0.3285 ,0,1,3
10,3,7.2896 ,10.6645 ,-0.4620 ,0,1,3
10,4,6.6333 ,10.3691 ,-0.2877 ,0,1,3
10,5,6.9801 ,9.1737 ,0.0000 ,0,1,3
10,6,6.8222 ,9.6810 ,-0.1508 ,0,1,3
10,7,6.7569 ,9.5946 ,-0.1508 ,0,1,3
10,8,5.9661 ,8.8223 ,0.0000 ,0,1,3
10,9,5.2470 ,9.5266 ,-0.1054 ,0,1,3
10,10,6.7250 ,10.0132 ,-0.1625 ,0,1,3
11,1,6.0283 ,10.2705 ,-0.3285 ,0,1,2
11,2,5.8636 ,10.1333 ,-0.2744 ,0,1,2
11,3,6.3190 ,10.4525 ,-0.3857 ,0,1,2
11,4,6.4770 ,10.4411 ,-0.2877 ,0,1,2
11,5,6.5073 ,10.4175 ,-0.2614 ,0,1,3
11,6,6.6134 ,10.8164 ,-0.4005 ,0,1,3
11,7,6.8057 ,11.1496 ,-0.4780 ,0,1,3
11,8,6.7799 ,10.7790 ,-0.3285 ,0,1,3
11,9,6.6783 ,11.0766 ,-1.6094 ,0,1,3
11,10,6.6846 ,10.9787 ,-0.3285 ,0,1,3
12,1,6.6503 ,10.2350 ,-0.4155 ,1,0,0
12,2,6.9068 ,10.5271 ,-0.5798 ,1,0,0
12,3,7.2971 ,10.5337 ,-0.5798 ,1,0,0
12,4,7.2211 ,10.5403 ,-0.5108 ,1,0,0
12,5,7.2556 ,10.5297 ,-0.4463 ,1,0,0
12,6,8.7901 ,10.7756 ,-0.4780 ,1,0,0
12,7,8.9021 ,10.8102 ,-0.4780 ,1,0,0
12,8,8.9252 ,10.8275 ,-0.4155 ,1,0,0
12,9,7.8846 ,10.8333 ,-0.6931 ,1,0,0
12,10,8.1600 ,10.8474 ,-0.3285 ,0,0,0
13,1,4.4998 ,9.8811 ,-0.2357 ,0,1,6
13,2,5.0563 ,9.8006 ,-0.2357 ,0,1,3
13,3,5.1705 ,10.0065 ,-0.2357 ,0,1,5
13,4,5.2627 ,10.1515 ,-0.2485 ,0,1,5
13,5,5.8201 ,9.6238 ,-0.1625 ,0,1,5
13,6,6.0568 ,9.9570 ,-0.1743 ,0,1,2
13,7,6.4457 ,9.6988 ,-0.1508 ,0,1,2
13,8,6.2879 ,10.0110 ,-0.1743 ,0,1,2
13,9,5.8944 ,10.1480 ,-0.6931 ,0,1,2
13,10,7.4091 ,10.3584 ,-0.1625 ,0,1,2
14,1,6.6386 ,10.9535 ,-0.6733 ,0,1,1
14,2,6.8554 ,11.0984 ,-0.6733 ,0,1,1
14,3,7.0012 ,11.3113 ,-0.7765 ,0,1,1
14,4,7.0085 ,11.2469 ,-0.6733 ,0,1,1
14,5,6.7441 ,10.6071 ,-0.3567 ,0,1,1
14,6,7.2828 ,10.9608 ,-0.4780 ,0,1,1
14,7,7.0388 ,10.9565 ,-0.4780 ,1,1,1
14,8,7.2520 ,11.0315 ,-0.4780 ,1,1,2
14,9,7.0767 ,11.4508 ,-0.6931 ,1,1,0
14,10,7.5580 ,11.7448 ,-0.4005 ,0,1,1
15,1,6.7912 ,9.8714 ,-0.1984 ,0,1,3
15,2,6.5917 ,9.4107 ,-0.1508 ,0,1,3
15,3,7.4384 ,9.7445 ,-0.1984 ,0,1,3
15,4,7.3479 ,9.7841 ,-0.1508 ,0,1,3
15,5,7.2520 ,10.0110 ,-0.1863 ,0,1,3
15,6,7.5027 ,9.9725 ,-0.1508 ,0,1,3
15,7,7.7280 ,10.3585 ,-0.1984 ,0,1,3
15,8,8.0580 ,10.2965 ,-0.1743 ,0,1,3
15,9,8.5226 ,11.1059 ,-1.6094 ,0,1,3
15,10,8.2532 ,10.7839 ,-0.1625 ,0,1,3
16,1,6.0064 ,10.2628 ,-0.3285 ,0,1,4
16,2,4.5218 ,10.4247 ,-0.3857 ,0,1,4
16,3,4.2767 ,10.6262 ,-0.4620 ,0,1,3
16,4,4.2485 ,10.7307 ,-0.4943 ,0,1,3
16,5,4.1744 ,10.8580 ,-0.4308 ,0,1,3
16,6,2.3026 ,11.0323 ,-0.4780 ,0,1,3
16,7,5.9964 ,11.0227 ,-0.4780 ,0,1,2
16,8,5.5683 ,10.8928 ,-0.4005 ,0,1,2
16,9,5.6768 ,11.1627 ,-0.6931 ,0,1,2
16,10,5.7104 ,11.1151 ,-0.3285 ,0,1,2
17,1,6.9707 ,10.0944 ,-0.2744 ,0,1,1
17,2,6.8804 ,10.0657 ,-0.2744 ,0,1,1
17,3,6.1944 ,10.3704 ,-0.3285 ,0,1,2
17,4,7.0031 ,10.7057 ,-0.3425 ,0,1,2
17,5,7.2182 ,10.7899 ,-0.3567 ,0,1,2
17,6,7.5929 ,10.9200 ,-0.4005 ,0,1,2
17,7,7.8407 ,11.0116 ,-0.4005 ,0,1,2
17,8,7.8316 ,11.1220 ,-0.4780 ,0,1,2
17,9,8.0130 ,11.1970 ,-0.6931 ,0,1,2
17,10,8.4843 ,11.3776 ,-0.3285 ,0,1,2
18,1,8.4470 ,10.3605 ,-0.3285 ,0,1,2
