inlf,hours,kidslt6,kidsge6,age,educ,wage,repwage,hushrs,husage,huseduc,huswage,faminc,mtr,motheduc,fatheduc,unem,city,exper,nwifeinc,lwage,expersq
1,1610,1,0,32,12,3.354,2.65,2708,34,12,4.029,16310,0.721,12,7,5,0,14,11,1.210 ,196
1,1656,0,2,30,12,1.389,2.65,2310,30,9,8.442,21800,0.661,7,7,11,1,5,19,0.329 ,25
1,1980,1,3,35,12,4.545,4.04,3072,40,12,3.581,21040,0.692,12,7,5,0,15,12,1.514 ,225
1,456,0,3,34,12,1.097,3.25,1920,53,10,3.542,7300,0.781,7,7,5,0,6,7,0.092 ,36
1,1568,1,2,31,14,4.592,3.6,2000,32,12,10,27300,0.622,12,14,9.5,1,7,20,1.524 ,49
1,2032,0,0,54,12,4.742,4.7,1040,57,11,6.711,19495,0.692,14,7,7.5,1,33,10,1.556 ,1089
1,1440,0,2,37,16,8.333,5.95,2670,37,12,3.428,21152,0.692,14,7,5,0,11,9,2.120 ,121
1,1020,0,0,54,12,7.843,9.98,4120,53,8,2.549,18900,0.692,3,3,5,0,35,11,2.060 ,1225
1,1458,0,2,48,12,2.126,0,1995,52,4,4.221,20405,0.752,7,7,3,0,24,17,0.754 ,576
1,1600,0,2,39,12,4.688,4.15,2100,43,12,5.714,20425,0.692,7,7,5,0,21,13,1.545 ,441
1,1969,0,1,33,12,4.063,4.3,2450,34,12,9.796,32300,0.581,12,3,5,0,15,24,1.402 ,225
1,1960,0,1,42,11,4.592,4.58,2375,47,14,8,28700,0.622,14,7,5,0,14,20,1.524 ,196
1,240,1,2,30,12,2.083,0,2830,33,16,5.3,15500,0.721,16,16,5,0,0,15,0.734 ,0
1,997,0,2,43,12,2.267,3.5,3317,46,12,4.341,16860,0.721,10,10,7.5,1,14,15,0.818 ,196
1,1848,0,1,43,10,3.68,3.38,2024,45,17,10.87,31431,0.581,7,7,7.5,1,6,25,1.303 ,36
1,1224,0,3,35,11,1.347,0,1694,38,12,9.15,19180,0.721,16,10,7.5,1,9,18,0.298 ,81
1,1400,0,2,43,12,3.214,4,2156,45,12,6.122,18600,0.692,10,7,7.5,1,20,14,1.168 ,400
1,640,0,5,39,12,5.175,2.25,2250,40,12,6.15,19151,0.721,12,12,7.5,1,6,16,1.644 ,36
1,2000,0,0,45,12,2,2.3,2024,51,11,6.917,18100,0.692,7,7,5,1,23,14,0.693 ,529
1,1324,0,4,35,12,7.553,3.94,2123,40,10,4.71,20300,0.692,12,7,5,0,9,10,2.022 ,81
1,2215,0,2,42,16,3.505,3.3,4160,48,16,3.131,30419,0.622,10,16,7.5,0,5,23,1.254 ,25
1,1680,0,0,30,12,3.571,3.8,2000,35,12,4,14090,0.721,12,10,3,0,11,8,1.273 ,121
1,1600,0,0,48,13,3.25,3.26,2420,52,17,7.223,22679,0.661,7,3,5,1,18,17,1.179 ,324
1,800,0,0,45,12,3.25,2.2,1150,53,17,7.965,12160,0.721,7,7,11,0,15,10,1.179 ,225
1,1955,1,1,31,12,2.155,2.3,2024,31,12,4.088,12487,0.752,12,7,5,1,4,8,0.768 ,16
1,660,0,2,43,17,3.788,0,1904,43,17,14.181,29850,0.581,16,14,9.5,1,21,27,1.332 ,441
1,525,0,0,59,12,4,3.18,2448,53,16,6.536,18100,0.692,3,7,9.5,1,31,16,1.386 ,961
1,1904,0,3,32,12,4.727,6.07,2000,33,13,8.5,26000,0.661,3,7,11,1,9,17,1.553 ,81
1,1516,1,0,31,17,7.256,6,2390,30,17,6.276,26100,0.622,12,12,5,0,7,15,1.982 ,49
1,346,0,0,42,12,5.867,6.39,1920,47,10,5.208,17730,0.721,12,12,9.5,0,7,16,1.769 ,49
1,1040,0,0,50,11,1.538,0,1840,53,10,2.782,6719,0.752,7,7,7.5,1,32,5,0.431 ,1024
1,732,0,0,59,16,2.459,2.5,3360,57,17,4.911,18550,0.692,3,3,14,1,11,17,0.900 ,121
1,1880,0,2,36,13,5.851,5.2,2284,35,13,5.867,24600,0.661,12,10,7.5,0,16,14,1.767 ,256
1,1680,0,1,51,12,3.571,3.29,1875,50,8,7.52,23100,0.692,7,14,5,1,14,17,1.273 ,196
1,2081,0,3,45,16,3.807,4.19,2140,47,17,7.545,24656,0.661,12,12,5,1,27,17,1.337 ,729
1,690,0,1,42,11,2.464,0,1896,44,8,5.538,15897,0.752,10,3,7.5,0,0,14,0.902 ,0
1,4210,0,0,46,12,2.375,4.63,1040,49,16,6.923,20320,0.692,3,3,11,1,17,10,0.865 ,289
1,2205,0,1,46,10,4.535,4.55,2200,52,12,5,21384,0.661,10,3,11,0,28,11,1.512 ,784
1,1952,0,0,51,14,5.618,5.6,1952,58,12,7.306,25561,0.622,7,7,14,0,24,15,1.726 ,576
1,1302,0,0,30,17,14.631,9.53,1560,30,17,11.218,36550,0.58,14,17,5,1,11,18,2.683 ,121
1,112,1,2,30,12,2.679,0,4030,33,16,3.846,15810,0.721,12,12,3,0,1,16,0.985 ,1
1,893,0,0,57,12,3.919,3.5,2570,58,12,5.837,25500,0.622,9,9,7.5,1,14,22,1.366 ,196
1,583,1,2,31,16,2.573,9.98,1530,34,16,13.725,24000,0.661,14,16,9.5,1,6,23,0.945 ,36
1,480,0,2,48,12,4.537,4.65,3149,48,8,6.349,22172,0.661,3,3,5,0,10,20,1.512 ,100
1,1900,0,3,30,12,2,2.23,2690,32,12,5.253,17930,0.721,12,7,5,0,6,14,0.693 ,36
1,576,0,2,34,12,3.472,3.84,3096,33,12,1.308,7000,0.781,12,7,3,0,4,5,1.245 ,16
1,2056,0,2,48,16,2.016,0,2552,53,16,2.8,25300,0.721,14,16,5,1,10,21,0.701 ,100
1,1984,0,0,45,12,4.572,4.82,2040,47,11,2.696,16212,0.721,10,10,11,0,22,7,1.520 ,484
1,2640,0,0,51,12,2.273,0,2180,50,13,7.569,22650,0.661,7,7,3,0,16,17,0.821 ,256
1,240,0,2,30,12,2.638,0,1864,37,12,3.408,6985,0.781,12,7,14,0,6,6,0.970 ,36
1,1173,0,1,46,12,2.29,2.5,2068,46,12,6.54,30000,0.692,7,7,11,1,12,27,0.829 ,144
1,3640,0,0,58,12,1.099,0,2010,58,12,7.214,18500,0.692,7,3,9.5,1,32,15,0.094 ,1024
1,340,0,8,37,12,1.176,0,2152,40,10,6.273,16658,0.752,12,7,5,0,15,16,0.163 ,225
1,500,0,0,52,8,1.6,0,1496,54,11,5.882,10300,0.752,7,7,5,1,17,10,0.470 ,289
1,1599,0,0,52,10,1.876,2.8,2100,47,4,3.809,11000,0.752,7,3,7.5,0,34,8,0.629 ,1156
1,1830,0,0,31,16,4.044,4.2,1960,35,14,6.378,19900,0.692,12,12,7.5,1,9,13,1.397 ,81
1,1920,0,0,55,14,9.635,8.75,1985,55,15,6.045,32500,0.64,7,7,14,1,37,14,2.265 ,1369
1,2052,0,0,34,17,8.041,8.25,2020,33,17,8.812,37300,0.58,17,17,7.5,1,10,21,2.085 ,100
1,2312,0,0,55,14,4.599,5.58,2178,56,16,8.877,30018,0.581,17,7,11,1,35,19,1.526 ,1225
1,196,0,2,39,12,2.143,2.5,3684,39,12,3.342,12807,0.752,12,7,14,1,6,12,0.762 ,36
1,2500,0,3,40,14,4.4,5.5,5010,42,13,3.184,39500,0.552,14,3,7.5,0,19,29,1.482 ,361
1,1980,0,4,43,12,3.535,3.75,1880,47,12,6.915,22050,0.692,12,12,9.5,1,10,15,1.263 ,100
1,1840,0,0,48,8,2.717,4.8,1904,56,8,5.515,15500,0.721,7,7,14,1,11,10,1.000 ,121
1,320,0,0,47,12,6.25,6.25,2083,47,12,5.281,13810,0.721,7,7,9.5,1,15,12,1.833 ,225
