psechoice,hscath,hsrural,grades,faminc,famsiz,parsome,parcoll,female,asian,hispan,black,grants,loans
2,0,0,9.079999924,62.5,5,1,0,0,0,0,0,0,0
2,0,0,8.31000042,42.5,4,1,0,1,0,0,0,0,0
3,0,0,7.420000076,62.5,4,0,0,1,0,0,0,1,1
3,0,0,7.420000076,62.5,4,0,0,1,0,0,0,0,0
3,0,0,7.420000076,62.5,4,0,0,1,0,0,0,1,1
3,0,0,7.460000038,12.5,2,0,0,1,0,0,0,1,1
2,0,0,9.670000076,30,5,0,0,0,0,0,0,0,0
1,0,0,11.77000046,42.5,4,1,0,0,0,0,0,0,0
3,0,0,8.81000042,17.5,3,1,0,1,0,0,0,1,0
3,0,0,6.440000057,42.5,6,1,0,0,0,0,0,1,1
2,0,0,9.399999619,30,5,0,1,0,0,0,0,0,0
2,0,0,9.06000042,62.5,6,1,0,0,0,0,0,0,0
1,0,0,10.52000046,62.5,3,1,0,0,0,0,0,0,0
3,0,0,6.190000057,62.5,2,0,0,1,0,0,0,1,1
3,0,0,5.039999962,42.5,6,1,0,1,0,0,0,1,0
3,0,0,5.039999962,42.5,6,1,0,1,0,0,0,1,0
1,0,0,9.43999958,22.5,2,0,0,1,0,0,0,0,0
3,1,0,5.869999886,87.5,5,0,1,0,0,0,0,0,0
3,1,0,2.670000076,62.5,4,1,0,0,0,0,0,1,1
3,1,0,6.989999771,42.5,5,1,0,0,0,0,0,1,1
3,1,0,9.079999924,150,4,0,1,1,0,0,0,0,0
2,0,0,6.639999866,42.5,9,0,0,1,0,0,0,0,0
3,1,0,4.829999924,0.5,4,0,1,0,0,0,0,1,1
3,1,0,4.46999979,62.5,3,0,0,1,0,0,0,1,0
3,1,0,6.610000134,87.5,6,0,1,0,0,0,0,0,0
3,1,0,6.610000134,87.5,6,0,1,0,0,0,0,0,0
3,1,0,7.420000076,42.5,4,0,1,0,0,0,0,1,0
3,1,0,6.420000076,87.5,5,0,1,0,0,0,0,1,0
3,0,0,10,8.75,4,0,1,1,0,0,0,1,1
3,0,0,9.109999657,22.5,3,1,0,0,0,0,1,0,0
3,0,0,9.109999657,22.5,3,1,0,0,0,0,1,0,0
3,1,0,7.539999962,42.5,2,0,0,1,0,0,1,0,0
3,1,0,7.539999962,42.5,2,0,0,1,0,0,1,0,0
3,1,0,7.539999962,42.5,2,0,0,1,0,0,1,0,0
3,0,0,7.440000057,42.5,3,0,1,0,0,0,1,0,0
3,1,0,7.690000057,150,4,0,1,0,0,0,1,1,0
3,0,0,3.640000105,62.5,3,0,1,1,0,0,0,0,0
3,0,0,7.880000114,250,4,1,0,1,0,0,0,0,0
3,0,0,5.230000019,30,7,1,0,1,1,0,0,1,1
2,0,0,8.220000267,62.5,4,0,1,1,0,0,0,0,0
3,0,0,5.929999828,87.5,3,0,1,0,0,0,0,0,0
3,0,0,5.929999828,87.5,3,0,1,0,0,0,0,0,0
3,0,0,4.21999979,150,3,0,1,0,0,0,0,0,0
3,0,0,5.170000076,62.5,3,0,1,1,0,0,0,0,1
3,0,0,5.170000076,62.5,3,0,1,1,0,0,0,0,0
2,0,0,4,42.5,2,0,1,0,0,0,0,0,0
2,0,0,4,42.5,2,0,1,0,0,0,0,0,0
3,0,0,3.400000095,42.5,6,0,1,1,0,0,0,1,0
3,0,0,3.400000095,42.5,6,0,1,1,0,0,0,0,0
3,0,0,3.210000038,87.5,4,0,1,0,0,0,0,0,0
3,0,0,6.570000172,150,3,1,0,1,1,0,0,1,0
3,0,0,6.570000172,150,3,1,0,1,1,0,0,1,0
3,0,0,2.470000029,150,4,0,1,0,0,0,0,1,0
