id,t,lwage,occ,south,smsa,ind,exp,exp2,wks,ms,union,fem,blk,ed
1,1,5.5606799,0,1,0,0,3,9,32,1,0,0,0,9
1,2,5.7203102,0,1,0,0,4,16,43,1,0,0,0,9
1,3,5.9964499,0,1,0,0,5,25,40,1,0,0,0,9
1,4,5.9964499,0,1,0,0,6,36,39,1,0,0,0,9
1,5,6.06146,0,1,0,1,7,49,42,1,0,0,0,9
1,6,6.17379,0,1,0,1,8,64,35,1,0,0,0,9
1,7,6.2441702,0,1,0,1,9,81,32,1,0,0,0,9
2,1,6.1633101,1,0,0,0,30,900,34,1,0,0,0,11
2,2,6.2146101,1,0,0,0,31,961,27,1,0,0,0,11
2,3,6.2634001,1,0,0,1,32,1024,33,1,1,0,0,11
2,4,6.54391,1,0,0,1,33,1089,30,1,0,0,0,11
2,5,6.6970301,1,0,0,1,34,1156,30,1,0,0,0,11
2,6,6.7912202,1,0,0,1,35,1225,37,1,0,0,0,11
2,7,6.81564,1,0,0,1,36,1296,30,1,0,0,0,11
3,1,5.6524901,1,0,0,1,6,36,50,1,1,0,0,12
3,2,6.4361501,1,0,0,1,7,49,51,1,1,0,0,12
3,3,6.5482202,1,0,0,1,8,64,50,1,1,0,0,12
3,4,6.6025901,1,0,0,1,9,81,52,1,1,0,0,12
3,5,6.6957998,1,0,0,1,10,100,52,1,1,0,0,12
3,6,6.77878,1,0,0,1,11,121,52,0,1,0,0,12
3,7,6.8606601,1,0,0,1,12,144,46,0,1,0,0,12
4,1,6.15698,1,0,1,0,31,961,52,0,0,1,1,10
4,2,6.2383199,1,0,1,0,32,1024,46,0,0,1,1,10
4,3,6.3007898,1,0,1,0,33,1089,46,0,0,1,1,10
4,4,6.35957,1,0,1,0,34,1156,49,0,0,1,1,10
4,5,6.4692502,1,0,1,0,35,1225,44,0,0,1,1,10
4,6,6.5624399,1,0,1,0,36,1296,52,0,0,1,1,10
4,7,6.6214099,1,0,1,0,37,1369,46,0,0,1,1,10
5,1,6.4377499,1,0,0,0,10,100,50,1,1,0,0,16
5,2,6.62007,1,0,0,0,11,121,46,1,1,0,0,16
5,3,6.6333199,1,0,0,0,12,144,40,1,1,0,0,16
5,4,6.9828601,0,0,0,0,13,169,50,1,0,0,0,16
5,5,7.0475202,1,0,1,0,14,196,47,1,0,0,0,16
5,6,7.31322,0,0,0,0,15,225,47,1,0,0,0,16
5,7,7.2957401,0,0,0,0,16,256,49,1,0,0,0,16
6,1,6.9057498,1,0,1,1,26,676,44,1,0,0,0,12
6,2,6.9057498,1,0,1,1,27,729,47,1,0,0,0,12
6,3,6.9077601,1,0,1,1,28,784,47,1,0,0,0,12
6,4,7.0030699,1,0,1,1,29,841,47,1,0,0,0,12
6,5,7.0690198,1,0,1,1,30,900,44,1,0,0,0,12
6,6,7.5202298,1,0,1,1,31,961,45,1,0,0,0,12
6,7,7.3388901,1,0,1,1,32,1024,47,1,0,0,0,12
7,1,6.1334,1,0,0,0,15,225,46,1,1,0,0,12
7,2,6.17379,1,0,0,0,16,256,48,1,1,0,0,12
7,3,6.2126098,1,0,0,0,17,289,49,1,1,0,0,12
7,4,6.31355,1,0,0,0,18,324,46,1,1,0,0,12
7,5,6.37502,1,0,0,0,19,361,47,1,1,0,0,12
7,6,6.4457202,1,0,0,0,20,400,47,1,1,0,0,12
7,7,6.52209,1,0,0,0,21,441,48,1,1,0,0,12
8,1,6.3315001,1,1,0,1,23,529,51,1,1,0,0,10
8,2,6.4035702,1,1,0,1,24,576,50,1,1,0,0,10
8,3,6.54391,1,1,0,1,25,625,50,1,1,0,0,10
8,4,6.5624399,1,1,0,1,26,676,50,1,1,0,0,10
8,5,6.59167,1,0,1,1,27,729,44,1,1,0,0,10
8,6,6.8178301,1,0,1,1,28,784,51,1,1,0,0,10
8,7,6.8916302,1,0,1,1,29,841,51,1,1,0,0,10
9,1,6.5510802,0,1,1,0,3,9,50,1,0,0,0,16
9,2,6.5510802,0,1,1,0,4,16,48,1,0,0,0,16
9,3,6.8023901,0,1,1,0,5,25,50,1,0,0,0,16
9,4,6.9077601,0,1,1,0,6,36,48,1,0,0,0,16
9,5,7.0900798,0,1,1,0,7,49,48,1,0,0,0,16
9,6,7.1701198,0,1,1,0,8,64,44,1,0,0,0,16
9,7,7.20786,0,1,1,0,9,81,48,1,0,0,0,16
10,1,6.3969302,0,1,1,0,3,9,49,1,0,0,0,16
10,2,6.4377499,0,1,1,0,4,16,47,1,0,0,0,16
10,3,6.4377499,0,1,1,0,5,25,46,1,0,0,0,16
10,4,6.4377499,0,1,1,0,6,36,44,1,0,0,0,16
10,5,6.52209,0,1,1,0,7,49,43,1,0,0,0,16
10,6,6.61338,0,1,1,0,8,64,34,1,0,0,0,16
10,7,6.7393398,0,1,1,0,9,81,40,1,0,0,0,16
11,1,6.65801,1,0,1,0,24,576,47,0,1,0,0,12
11,2,6.7262301,1,0,1,0,25,625,48,0,1,0,0,12
11,3,6.8023901,1,0,1,0,26,676,45,0,1,0,0,12
11,4,6.9077601,1,0,1,0,27,729,45,1,1,0,0,12
11,5,7.03966,1,0,1,0,28,784,47,1,1,0,0,12
11,6,7.1276898,1,0,1,0,29,841,17,1,1,0,0,12
11,7,7.2442298,1,0,1,0,30,900,47,1,1,0,0,12
12,1,6.5510802,1,1,1,0,21,441,47,1,1,0,0,12
12,2,6.6293602,1,1,1,0,22,484,46,1,1,0,0,12
12,3,6.72263,1,1,1,0,23,529,47,1,1,0,0,12
12,4,6.7333999,1,1,1,0,24,576,47,1,1,0,0,12
12,5,6.72263,1,1,1,0,25,625,47,1,1,0,0,12
12,6,6.9517698,1,1,1,0,26,676,47,1,1,0,0,12
12,7,7.0527201,1,1,1,0,27,729,46,1,1,0,0,12
13,1,6.9057498,1,1,1,0,26,676,48,1,0,0,0,12
13,2,6.9007301,1,1,1,0,27,729,48,1,0,0,0,12
13,3,7.1701198,1,1,1,0,28,784,50,1,0,0,0,12
13,4,7.26543,1,1,1,0,29,841,48,1,0,0,0,12
13,5,7.25912,1,1,1,0,30,900,48,1,0,0,0,12
13,6,7.25488,0,1,1,0,31,961,46,1,0,0,0,12
13,7,7.4000101,1,1,1,0,32,1024,46,1,0,0,0,12
14,1,6.8023901,0,1,1,0,15,225,45,1,0,0,0,17
14,2,6.8023901,0,1,1,0,16,256,45,1,0,0,0,17
14,3,6.9256001,0,1,1,0,17,289,45,1,0,0,0,17
14,4,7.0030699,0,1,1,0,18,324,44,1,0,0,0,17
14,5,7.1308999,0,1,1,0,19,361,44,1,0,0,0,17
14,6,7.1244798,0,1,1,0,20,400,44,1,0,0,0,17
14,7,7.12287,0,1,1,0,21,441,44,1,0,0,0,17
15,1,5.9401698,0,0,0,0,9,81,50,0,0,1,0,14
